dbn,comments
10X007,"['Anyone have a child that is a part of the Gifted and Talented program at PS 7 (Milton Fein)? I would love any and all info about it since there isn’t anything online.', 'Children love to run but few elementary schools have track teams. But, the <a href=""https://riverdalepress.com/stories/running-builds-ps-7-students-worth-ethic,69198"">Riverdale Press reports</a>, the Milton Fein School is an exception. In 2018 at the request of principal Miosotis Ramos, former high school track coach, and physical education teacher Anthony Hilliard began a running program for 4th and 5th graders in partnership with  New York Road Runners, The team got off to a rocky start but Hilliard eventually developed a dedicated group of runners who have developed discipline as well as athletic skills.', 'Administrators and teachers at the Milton Fein School have implemented a new curriculum that teaches students how to recognize and manage their emotions, set and \nwork toward personal goals, show empathy, form good relationships, and make responsible decisions. The goal, <a href=""https://riverdalepress.com/stories/a-curriculum-for-coping-adds-to-academics-at-ps7,68700"">according to an article in the Riverdale Press</a> is to improve \nclassroom behavior, and in the process, academic performance.', 'Hi, our son was accepted to the G&T program here.  Can someone provide some inside information?  How are the teachers? Administration?  Kids?  Thank you!', 'Did you end up going? If so, how is it?', ""Now  am going to 6 grade I pass in ps.7. First  when I come to ps.7 i dint know inglish but now thats school is really good because now I know inglish I liked it but now am going to 141 school I graduate in june 22 of 2015 bye ps.7  ♡♥♥♥ DON'T FORGET ME PS7\n\n\n\n\n"", 'I love you\n', ""Yeah, I'm a student in ps7 there are a bunch of computers used for the the prep technology but I don't think they stole it because why would they steal it just to be caught and there are inspections so by now they would have noticed by now""]"
10X008,"['Name is Alex, class of 2020 i went here from pre k to first grade. Anybody else in my class hmu on snap : alex_9168', 'Graduated from here in 2010. Had the time of my life in this school with amazing teachers such as Ms Connolay,Ms Chang,Ms Kinney,Ms Tavalocci,Ms Kertis,& Ms Merlucci. Will never forget the great things I learned from each of these teachers.', 'PS 8 has a mental health clinic that offers therapy for students in need. Read more and hear the SchoolBook story <a href=""http://www.wnyc.org/story/reading-writing-therapy-schools/"">here</a>.', ""I graduated from P.S.8. Nice environment for kids. Teachers are nice. The Beacon program there is free and full of activites. It was built in the 50's so it's not that old. Some gifted students get offers from exclusive programs from all the way to D.C. Can't lie there are some fights overall food is free, education is nice, programs are cool, and memories are made."", 'i go to ps8 the picture of the class with no students thats my class the teacher is ms.centrone she is a great teacher if you are looking for a school this great']"
10X009,[]
10X015,"['PS 15 is one of many community schools that make efforts to support homeless students. Read more <a href=""http://www.gothamgazette.com/index.php/government/5937-in-effort-to-ensure-sound-education-city-battles-student-homelessness"">here</a>.']"
10X020,['Awsome school']
10X023,['my favorite from this school is my amy i miss her so much she really loved me so was so nice and calm very helpful. ms Geronimo she and amy were look buddys so i got along with them the most and also ms maria i got left back in her class because they put me in a english spanish  i was mad because i had a flight but i realized had to go to summer school which was wrong cause i was so little. but i dont regret getting left back because i met alot of good friends and teachers so i love u ms maria']
10X024,"['Any info or personal experience with PS 24’s gifted and talented program? I went on an extremely crowded tour and it seems like that info was glossed over. We entered the kindergarten G&T class and the teacher was too busy (understandably) to tell us anything at all. I asked about their G&T before and was told to just go on a tour. Didn’t learn too much from the tour so here I am asking again.', 'PS 24 principal  Steven Schwartz <a href=""https://riverdalepress.com/stories/diaz-fights-back-against-plans-to-scuttle-school-gt-programs,70193"">told the <i>Riverdale Press</i></a>s he does not think gifted and talented programs, such as the one at his school, should be eliminated altogether but he does think some changes could be made.', 'At least 140 parents signed a letter in support of PS 24 principal Steven Schwartz in the wake of anonymous letters sharply critical of him, according to the <a href=""https://riverdalepress.com/stories/parents-doubt-anonymous-charges,69258""><i>Riverdale Press</i></a>. The letter was the latest round in a series of controversies surrounding the school and its leadership.', 'With the help of two local historical societies, PS 24 is using the stories of blacks i the north Bronx, including the enslaved Africans who built the Van Cortlandt plantations,to teach black history, the <a href=""https://riverdalepress.com/stories/ps-24-learns-black-history-through-love-local-lessons,68293""><i>Riverdale Press </i>reports</a>.', 'Steven Schwartz, principal of PS\u200924 in the Bronx, ""is so eager for praise he offered a quid pro quo to teachers who show up at a public meeting next Tuesday to make their Riverdale school — and him — look good. Teachers who attend may get letters of commendation in their files — and two free “prep” periods away from their classrooms,"" the <a href=""https://nypost.com/2019/11/23/bronx-principal-bribes-teachers-who-publicly-praise-him-with-two-free-periods/?utm_source=newsletter&utm_medium=email&utm_campaign=cb_bureau_ny"">NY Post</a> reports.', 'I go to P.S.24 and from my experience, i think it is a pretty really good school.', 'Assistant Principal Manny Verdi has filed a lawsuit against current principal Steven Schwartz, claiming he assigned Verdi ""dangerous work"" as retaliation for exposing the alleged racial profiling of school applicants, <a href=""http://www.nydailynews.com/new-york/bronx/bronx-educator-lawsuit-claims-punishment-whistleblowing-article-1.3412625"">the Daily News reports</a>', 'The Department of Education offered 58 previously waitlisted students were offered seats at PS 24 after parents threatened to protest, <a href=http://riverdalepress.com/stories/faced-with-protest-ps-24-admits-kids,62029?utm_source=Master+Mailing+List&utm_campaign=f350a00fef-EMAIL_CAMPAIGN_2017_03_16&utm_medium=email&utm_term=0_23e3b96952-f350a00fef-75750697>Riverdale Press reports</a>.', ""It's just amazing how there is also squabbling between teachers and administration just about anywhere. Each is just so far removed from the challenges the other faces. As a teacher myself, I have some words of wisdom: Never let politics take priority over pedagogy."", 'Andrea Feldman was removed from her position as interim acting principal after she allowed a staffer for state Assemblyman Jeffrey Dinowitz to register incoming kindergarten students, <a href=""http://www.nydailynews.com/new-york/education/principal-ousted-bias-registration-upscale-bronx-school-article-1.2816253"">the Daily News reports.</a>.', 'PS 24 still does not have a new principal after the former principal resigned last fall amid controversy. Andrea Feldman remains the acting principal as the DOE continues to delay the hiring process. Read more <a href=""http://riverdalepress.com/stories/No-new-principal-for-PS-24-yet,60316?utm_source=Master+Mailing+List&utm_campaign=cebfdd427c-Rise_Shine_7_19_2016&utm_medium=email&utm_term=0_23e3b96952-cebfdd427c-75747953"">here</a>.', ""Current assistant principal Manny Verdi is suing the Department of Education, alleging among many other things that PS 24's PA co-president and Assemblyman Jeffrey Dinowitz’s chief of staff Randi Martos both reviewed applications for prospective kindergarten students in the school's office with the intent of preventing minorities and lower-income children from enrolling. \n\nhttp://riverdalepress.static2.adqic.com/uploads/files/9f8a938dcd.pdf"", 'Assistant Principal Manuele Verdi has filed a lawsuit against a state assemblyman, accusing him of racially profiling school applicants. <a href=""http://www.wnyc.org/story/assistant-principal-accuses-bronx-politician-meddling-school-enrollment/"">WNYC reports.</a>', 'Parents at PS 24 want the Department of Education to install a permanent replacement for former principal Donna Connelly, who resigned under pressure in 2015. The process has been delayed pending an invesigation, <a href=""https://www.dnainfo.com/new-york/20160503/riverdale/bronx-school-parents-furious-over-political-fighting-lack-of-leadership"">DNAinfo reports</a>.', 'PS 24 will loose access to five off-site classrooms at the end of the 2015-2016 school year, and will instead build classrooms in an on-site cafeteria and adjacent area. The number of kindergarten classes will also be reduced. Read more <a href=""http://insideschools.org/component/schools/school/414"">here</a>.', ""Bye Donna! Don't mess with teachers!!!!!!"", 'NY Post: Desk Dump Principal Forced Into Retirement; DOE to Search Outside School For Replacement\n\nhttp://nypost.com/2015/10/28/desk-dumping-principal-gives-herself-the-heave-ho/', 'BREAKING: the Riverdale Review reports that Donna Connelly has been relieved of her duties and is retiring effective November 1, 2015. ', 'Dear Bronx community members, \n\nI am writing you as a concerned parent of 2 children at P.S. 24.  If you are not aware of the malfeasance  currently plaguing the school, check out http://nypost.com/2015/10/25/desk-dumping-principal-in-hot-water-for-overcrowding-school/\n\nNow this overcrowding is in no small part  because well intentioned parents from other neighborhoods wanted to reap the benefits that P.S.24 had to offer, so they found ways to make it APPEAR that their child lived in the district.  It would certainly  be a unfortunate  turn of events if these students were forced to go back to a neighborhood school that did not have the resources of P.S.24.  This scenario could possibly happen, if TRAILERS are put on PS24 property.\n\n     You can help though by calling the leaders of Bronx Community Board 8.  Call them, email them and ask them to represent on your behalf to the NYCDOE to get a new building space for a P.S.24 annex\n\nCOMMUNITY BOARD NO. 8 BRONX\n5676 Riverdale Avenue, Suite 100\nBronx, New York 10471-2194\nTelephone: 718-884-3959\nFax: 718-796-2763\nEmail: bx08@cb.nyc.gov\n\nOffice Hours: 9:00 am to 5:00 pm\n\n\n\nThank you,\n\n\n\nDan Leopold \n', 'NY Post: PS 24 Leadership Drops the ball, School Loses Lease on Annex http://nypost.com/2015/10/25/desk-dumping-principal-in-hot-water-for-overcrowding-school/', 'Education activists and bloggers discuss how the DOE recycles principals: \n\n""DOE Recycles Failed Principals\n\nLeonie Haimson reports:\n\nDonna Connelly at Ps 24 in the Bronx has been controversial for years; she was pushed out of ps 3 by parents when my daughter was there, has been despised by teachers and also threw a reporter out of an SLT meeting a few years ago- illegally as the DoE spokesperson later explained. \n\nIn her latest craziest move, astonishingly, the DoE spokesperson appears to back her up.\n\nhttp://nypost.com/2015/10/18/principal-forbid-teachers-to-sit-so-she-threw-out-their-desks/\n\n\nI\'m not astonished. It\'s been going on for decades. Principals can get away with anything.""', 'PS 24 in danger of losing Whitehall Annex for Fifth-Graders: http://bronx.news12.com/news/p-s-24-may-lose-whitehall-annex-building-1.10995135', ""More media fall-out from PS 24 Principal's decision to throw away desks and filing cabinets: http://www.slate.com/blogs/schooled/2015/10/20/bronx_principal_bans_desks_from_spuyten_duyvil_school_citing_21st_century.html"", 'All desks and cabinets are returning to the school, say principal and  DOE. Read more <a href=""http://nypost.com/2015/10/19/desk-tossing-principal-giving-teachers-their-furniture-back/"">here</a>.', ""Principal's Removal of Desks Makes International News: http://www.dailymail.co.uk/news/article-3278312/It-s-21st-century-don-t-need-desks-Principal-New-York-school-orders-classroom-furniture-dumped-street-enforce-stop-teachers-sitting.html"", 'This is misappropriation of school district funds. She should be fired and the furnishings returned to their rightful places.', 'Wondering if D Connelly still has her desk????  Shame on you!  A leader you are NOT!  Wondering if the mayor and governor recognize and are okay with the fact that these teachers have to deal with this lunacy on top of the everyday challenges of teaching.', 'Donna Connelly is a horrible leader for removing teachers\' desks and filing cabinets. Asked where teachers should now leave their important paperwork - student IEPs, lesson plans, etc - Connelly told her teachers to ""figure it out."" When asked by her hard-working teachers where they could work on grading papers, planning lessons, reading IEPs, making mandated modifications for special needs students, this callous misleader told teachers to use the cafeteria. This principal should be fired and parents should call 311 - you want your child\'s teacher focused on your child, not dealing with a childish principal.', 'Well said. I wish we could fire all administrators who make these kind of ridiculous moves.', 'This principal took out all the desks and file cabinets because ""you don\'t need desks in the 21st century"" What?  Several years prior turned down a grant for 2 full years of music appreciation because it ""has no educational value."" Who does this woman know that gets her access to a Riverdale elementary school?', ""Did the principal really take all of the teacher's desk and file cabinets out of the classrooms?? If so where do the teachers put all of their important files. Where do teachers sit to do lesson plans and enter data. What is the reason behind this??"", ""My son graduated PS 24 in 2014.  In 2014-15, he went to a private school, where he was quite far ahead of his classmates in math, straight 4s all year, and without having to do any extra work.  And my son was NOT in a G&T class at PS 24.  I really can't say enough about PS 24, I don't get the nay-sayers.  I mean, yes, it is a big public school, and that comes with challenges.  But the administration, staff and parent body are all very committed to their children's education, so the problems of a big school pale in comparison to the opportunity that exists at PS 24.  Any kid that wants to can get an incredible education at PS 24, regardless of background or income level.  Such a great community."", 'the principal tried to ""excess"" the music teacher because the teacher wasn\'t good.  the principal would have replaced her the next year with a new teacher, but parents didn\'t catch on to the plan. too bad.  the ""new"" teacher was just the old teacher hired back.', ""That's a boat load of misinformation. The principal tried to excess two out of two music teachers and all of kindergarten paraprofessionals. It was all about the money. Music teachers were both competent and the one that didn't get rehired was universally loved. The administration's plan was to rely on fundraising efforts of PTA to plug those holes. As part PA's pitch at PS24 welcome picnic, incoming K parents are asked to donate $1K/family just to cover K teachers assistants."", ""no misinformation whatsoever - my son was attending PS 24 when this went down, so i know all about it, first hand.  and, you are confusing 2 issues.  the first issue is about the ways in which a principal can and cannot replace teachers, according to DOE and UFT rules.  the second has to do with budget shortfalls system-wide, not just at PS 24.  parents were asked for donations by the parent association - not the school! - for UP TO $1k, according to a family's available income.  some families gave $25, $50, whatever they could afford, and that was great...  whatever the amount, the purpose of those donations was to provide funds to hire kindergarten teachers' assistants , as you correctly state.  the school relied on the PA to raise those funds because the DOE is not providing enough funds to cover those costs, although enrollment continues to rise at all schools, system-wide.  PAs are doing this across the city, because their children benefit, and a public education is otherwise free!  and, the program was a success - extra teachers assistants were hired to help teach 8 kindergarten classes, up from 5 or 6 the year before!  another example of how the staff and parent body work together so beautifully at this school...\n\nbut the kindergarten fundraising program had nothing to do with the music teachers.  in that case, the administration was just trying to upgrade the music department staff.  the most direct path they saw was to take a year off from the music program, which would allow them to excess the music teachers, and reapply the funds elsewhere.  then the following year, they could reallocate money for an all new music department and start fresh with new teachers.  but because the parents reacted so strongly,  the admin retreated and rehired the same teachers.  whether this was the right or wrong way to go about trying to renew the music program can be debated, but everyone should realize it was done with the intention of ultimately providing a BETTER music program.  if you look at all of the other improvements in the arts programs and elsewhere at the school since this administration took over, it's obvious that they were just trying to upgrade the music program as well, not to take it away permanently."", ""I will give you benefit of the doubt, although it's not at all what the administration presented to the school about the music teachers. They said that they will rely on outside non-profits exclusively as a way to have music at school, and if PA wants to supplement, they were welcome to raise funds. Ironically, none of these outside programs is supposed to function without a permanent music teacher, and once two of them both threatened to walk and take away the instruments they donated, the principal reinstated one teacher. There is no better music program, a three  years later. \n\nAs far as K, assistant principal said to many parents who complained that paras don't make money for the school, and most schools in the city don't have K assistants, and canned all of them. Of course, donations to the TA fund are not mandatory - that would be illegal. But it was made clear to us that if we don't donate, our kids will have one adult in the classroom. Which they still did, for half the day."", ""Yeah, they kind of had to present it that way... They couldn't say they were trying to replace teachers, there would have been massive blowback.  You would not believe the resistance they have encountered trying to make improvements at that school...""]"
10X032,"[""Hi my name is Diana Estrada I went to this school back in the 70's, I think it was 1976 when I won the first place swimming trophy. Throughout the years I lost my trophy, which I cherished. I was told by my mother that there was a recording being played in the auditorium of the swim race when she picked up my trophy. She picked it up because I was to sick to go and receive my trophy on that assembly day. I would like to know if that recording still exist and how can I possibly get a copy of it."", 'Former PS 32 teacher Andrew Pallotta will lead the New York state United Teachers; he is the first NYC educator to lead the organization, <a hfref=http://www.chalkbeat.org/posts/ny/2017/04/11/for-the-first-time-the-state-teachers-union-will-be-headed-by-a-new-york-city-educator/>Chalkbeat reports</a>.', ""I was in this school and it was the best i had these teachers\nK. Ms. Miluchi\n1. Ms. Thomas from 1M7\n2. Ms Eager\n3. Ms. Smeader\n4. Ms. Hall / Mr. V \n\n\nthese teachers were awesome and i also had Ms Elosigi and Ms Lore and Ms Adams best teachers and now I'm a senior in HS that was alot of years i miss them now"", 'I attended PS 32 from 1982 to 1985. I remember participating in the Belmont Run and being part of the inter class basketball Tournament each year. My favorite teachers were Mrs. Hicks 6-401, Mr.Lunar who was the swimming teacher and Mrs Singer  the music teacher. I was not a fan of the gym since the ceilings was low with the padded columns around the gym. I also remember the Rocky and I love New York music song exercises we were all required to do at the start of Gym class. The school also had an actual dentist who would perform cleanings for students. I have not been back to PS 32 since graduating back in 85. However, I would love to one day drive by and reflect on all the great memories I had attending this great school located on Belmont Avenue in the Boogie Down Bronx.', ""I went to this school for 1984-1986 I had great memories there growing up. Would live to visit the school oneday...I have no real bad memories , infact all my teacher's we're awesome, helped me on my way. Oh how i enjoyed the belmont run and the talent shows... Reading was and still is my favorite subject. ,and journalism.  Great school . My heart warms at tthe thought. "", ""Mr.Socol and mr swinton we're 2 of the teachers i can remember. .. I was a part of the choir.  Really great memories as well. It was a very positive school, always had some kind of special events to encourage the students, the belmont run, talent shows, volly ball tournament etc. I absolutely loved it. ""]"
10X033,"['The food service manager for PS 33 and PS 59 has been accused of serving children food that was past its expiration date and ignoring other food safety measures, <a href=""https://www.nydailynews.com/new-york/education/ny-school-food-service-manager-fired-over-recalled-food-20190926-ikwv3bemkrdsfdfvttg7wdunvq-story.html"">according to the Daily News</a>. An administrative law judge has recommended the city fire Britten Logan, who was responsible for overseeing 1,500 meals a day at the two schools.', 'On July 11, 2019, construction began on a $70 million annex for PS 33, the <a href=""https://thebronxfreepress.com/class-actacto-escolar/"">Bronx Free Press reported</a>. The annex, slated for completion in 2021, will house 11 classrooms, a library, cafeteria and kitchen, space for special education classes and exercise room. Despite recent declines in enrollment at the school, its 120-year-old main building is over-crowded, requiring some classes to to be held in a former Social Security Office building on the same block.', 'I only spent my last year and a half of elementary at this school and that was a long time ago. It was great. My teachers were Ms. Brady and Ms. Ible. Ms. Ible taught me a lot of things outside of the curriculum. She made sure that everyone understood, asked questions frequently, gave quizzes to see how everyone was progressing and even encouraged tutoring. The top students tutored the students having the most trouble and it worked. As a class we moved fast from topic to topic. Everyone was doing great in the class.\nI participated in tennis club while it was offered. It was a lot of fun but the students themselves did not get involved. I was part of the student council in my last year. There was a student patrol - I am not sure if it still exists. We took ""ballroom dancing"" class and performed. It was a great school while I was there.  Aside from the two that I mentioned both Mr. R, who still teachers science there, and Ms. Jackson are great teachers who encourage their students to think about college and career paths for the future.']"
10X037,[]
