dbn,comments
07X157,"['PS 157 in the Bronx is one of 11 schools featured in the findings of a federal investigation that determined 83% of New York City elementary schools are not ""fully accessible"" for students with disabilities. Read more <a href=""http://www.nytimes.com/2015/12/22/nyregion/most-new-york-elementary-schools-are-violating-disabilities-act-investigation-finds.html?ref=education&_r=0"">here</a> and see the report <a href=""http://www.justice.gov/usao-sdny/file/801171/download"">here</a>.', 'Performance on State Tests\nEnglish\n30%\nmet State standards on the State English test; the average score at this school was 2.5 out of 4.5\nComparison Group: 33%\nDistrict 07: 30%\nCity: 46%\nMath\n31%\nmet State standards on the State math test; the average score at this school was 2.6 out of 4.5\nComparison Group: 29%\nDistrict 07: 30%\nCity: 47%', 'Parent, I could not have said it better myself!   DURAN is does NOT welcome parents.  She has never invited parents to her office in (almost) 20 years, and you only see parents in there if they burst in to the main office demanding to see her over some problem(s)!\n\nAnd you\'re right about the Parent Association, they are all token members.  No real elections.  This is still the case today, 2019.\n\nTo Jessica Aguirre, pre-k (and maybe KG) parents get asked to participate.  If parents do participate and hold meetings, post the Sign In Attendance Sheets to ALL of your ""parent meetings"" on Twitter, Instagram, Facebook and other social media.  (Yeah, schools literally actually use these in 2018.)  No one at P.S. 157 will ever post these attendance sheets because parent involvement is low to non existent at 157X.  Ask Ms. Miranda.\n\nI invite you or anyone at 157 (in the name of truth, openness and transparency) to prove us wrong, and post all P.A. (it\'s a P.A., not a P.T.A.) meetings attendance sheets.  Feel free to link them here!  \n\nIt\'s not happening.', ""This was 8 years ago. My daughter was there for her kindergarten year and now about to start 1st grade. Parent involvement is always requested and so I go to the pta meetings and all the pta office holders are at the meetings and voting takes place at parent events so it's all done fairly.""]"
07X161,"['I worked at PS 161, and want to direct my comment to prospective teachers thinking about working here.\n\nI see many of the comments here are about disruptive students. I felt that this behavior was about the same as other schools with high economic need. The children are not the problem at this school.\n\nThe biggest issue is administration. The principal is very hands off and lets the APs handle everything, even answering her emails. They are quite disorganized, i.e. sometimes they announce the wrong times for meetings/assemblies, or they say they will provide you some support and then never do it.\n\nWorst of all, one of the APs is a bully who likes to play favorites and abuse her power. Teachers live in fear of getting yelled at and written up for minor incidents. She has a need to control everything: your bulletin boards, your classroom furniture, your lesson plans. UFT knows about this, but she gets away with it because she will argue with everything and twist the contract wording around. She barges in on teachers during their prep/lunch to make them do something. She has even threatened not to recommend tenure for effective-rated teachers. I firmly believe she is the main reason why 161 has high teacher turnover.\n\nAnother consideration for candidates is there are charter schools all around 161, so enrollment is constantly dropping. They have lost a lot of funding and will need to let teachers go (even tenured teachers). So if you get a job here, your job could be gone very quickly.\n\nIf you read through all of this, please consider this information, for your career and your well-being.', 'PS 161 now offers free pre-kindergarten for both 3- and 4-year olds.', 'The dual language program at PS 161 will begin in pre-kindergarten, beginning in 2015.']"
07X179,"['If someone knows about a boy named angel villano plz email me here Ashleyhernandez-zosaya2022@pershing220.org plz it’s important cuz I use to be in this school and I didn’t get a change to say bye to him I just need to talk to him plz angel villano te extraño😭😭😭😖😖😭😭', 'Plz if someone knows about angel villano email me her @Ashleyhernandez-Zosaya2022@pershing220.org', 'Plz someone help me find angel villano plz he was in this school when I left I need to talk to him plz someone help me plz😭😭😖', 'Hi', 'Hi do you know the principal I need to talk to her emergency', 'I am looking for a boy named angel villano in this school or the principal I use to be her but I left']"
07X221,"['South Bronx Prep teacher Rebecca Guarino has been chosen as a 2016 Knowles Science Teaching Foundation Fellow, <a href=""http://www.bxtimes.com/stories/2016/32/32-teaching-2016-09-06-bx.html"">as Bronx Times reports</a>.', 'A 16-year-old South Bronx Prep student was allegedly raped by another student during an overnight class field trip. Read more <a href=""http://nypost.com/2016/02/27/16-year-old-girl-raped-by-classmates-on-field-trip/"">here</a>.', 'what is the uniform and dance']"
07X223,"['223 does have a uniform policy and it is actually pretty strict', 'Favoritism at its finest', 'Highschool*', 'At what time do we have to get there and what time are we dismissed?', 'what time does ms.223 kid have to be in school and what time do they get out?', ""I am former graduate of MS223 and also a current undergraduate student at New York University. I can say that my journey to academic success began when I entered MS223 in the sixth grade. I had teachers in all subject areas who supported and motivated me to achieve goals that I couldn't have even imagined that I could reach. My teachers opened my mind to an array of things and fostered my passion for increasing my knowledge and continuing to be more open minded by venturing out to places that were out of my comfort zone. They knew that there was more out there for me and pushed me and helped me excel in order to be ready for what was there to come. It was through my experience at MS223 that I realized that I can excel at whatever it is that I am passionate about and I give credit to the amazing teachers who believed in me and who, until this day, continue to push me. I honestly don't think I'd be here, at NYU, if not for the dedication, love and support of my teachers at MS223."", 'This is truly an amazing school.  A gem.  I suggest you visit. This \nstaff is amazing and their principal somehow keeps it all running \nsmoothly.  Just look at the other schools in the area and you can tell \nthis is a dedicated group.  I salute you for your ability to make our \ncity better!', '', 'Are you that angry art sub teacher?', 'Schools Chancellor Carmen Fariña announced that 15 schools with existing Dual Language programs will become Model Dual Language Programs, including MS 223 The Laboratory School of Finance and Technology, for the 2015-16 school year. The schools will receive $10,000 for multilingual instructional materials and staff will have ongoing professional development. Read more <a href=""http://schools.nyc.gov/Offices/mediarelations/NewsandSpeeches/2015-2016/Chancellor+Farina+Names+15+Schools+Model+Dual+Language+Programs.htm"">here</a>.', ""I've attended MS/HS 223 for the past 4 years and have made many friendships with both students and staff. In the fall I will be entering my sophomore year of High School and look forward to the numerous experiences this school has to offer. MS/HS 223 has been a second home for me as I am involved in many extracurricular activities that keep me occupied for most of the day. The environment that teachers have created in this building is safe and loving. Academically, I feel challenged and driven to push myself further and further each day."", ""I have been attending MS 223 since the 6th grade and I will be entering my junior year of high school this coming fall. I can honestly say I am getting a quality education that I wouldn't receive anywhere else in the South Bronx. I am always on top of my schoolwork and average a 90 or higher every semester. If it wasn't for the amazing teachers who always look to encourage me and set me in the right path, then I probably wouldn't be the diligent student I am now. I am grateful for the opportunities provided at this school."", 'MS 223 has added coding classes as core classes starting in sixth grade. Read more <a href=""http://www.ny1.com/nyc/all-boroughs/education/2015/04/3/south-bronx-middle-school-students-incorporate-software-engineering-into-curriculum.html"">here.</a>', ""Ms223 is a family school. They treat you well. There are some negative things though that the principal hides. This makes the school seem good. If you are really into the school you have to think. Do you want to deal with the teachers. Like I always say it isn't the school it is the teachers in the school. I am leaving and I am 70% happy and 30% sad. Only because of some teachers, and of course my friends."", '', 'Everyone knows JaneDoe is Nono', ""See the video about MS 223's Summer Bridge program.\nhttp://www.ms223.org/video.html"", 'The Laboratory School of Finance and Technology received $25,000 in federal grants for its Spanish dual language program beginning in September 2015. Read more about the city\'s new and expanded dual language programs <a href=""http://www.dnainfo.com/new-york/20150114/downtown-brooklyn/40-new-expanding-dual-language-programs-coming-nyc-schools"">here.</a>', 'The Laboratory School of Finance and Technology received a visit from Microsoft CEO Satya Nadella during Computer Science Education Week. Read about Nadella’s visit <a href=""http://blogs.microsoft.com/blog/2014/12/10/everyone-starts-somewhere/"">here</a>.', 'Students from The Laboratory School of Finance and Technology have participated in an Intel Robotics Competition. See the event on Bronxnet <a href=""http://www.bronxnet.org/tv/viewvideo/4706/bronxnet-packages/intel-what-would-your-robot-do"">here</a>.', 'Chancellor Carmen Fariña announced 73 schools selected to join\nthe Learning Partners Program, an innovative and collaborative\ninitiative that brings schools together to share practices to improve learning\nin the classroom and raise student outcomes. Through the program, one host school with strong practices in a particular focus area will support two partner schools seeking to strengthen their own practices in that area. MS/HS 223 The Laboratory School Of Finance And Technology was chosen to host Kappa IV, Entrada Academy and Academy of Applied Mathematics and Technology. Read more <a href=""http://schools.nyc.gov/Offices/mediarelations/NewsandSpeeches/2014-2015/Chancellor+Fariña+Announces+73+Schools+in+Learning+Partners+Program+for+2014–15+School+Year.htm"">here</a>.', 'MS 223 was the first school visited by Chancellor Fariña in her 70 school tour.  Read more <a href=""http://ny.chalkbeat.org/2014/08/26/on-her-tour-of-city-schools-farina-takes-a-hands-on-approach/#.U_4eoktjcds"">here</a>.', 'High school students at MS/HS 223 may choose from three tracks: Spanish, finance or technology. Each will lead to related internships and college credits. Read more <a href=""http://www.dnainfo.com/new-york/20130916/mott-haven/successful-mott-haven-middle-school-grows-into-high-school"">here</a>.', 'I love this school!  I love the college trips to Columbia and Cornell!  I have great friends and all my teachers and the principal say hi every morning.  I chose to come here for middle school and high school.  So did every other kid in my school.  I hope to be like the girl I met at Cornell who went to my school-another Bronx success story!', ""This school sucks . And I attended this school 6-9th grade and now im transferring because it sucks. Don't believe everything they say about the school on these webpages. Believe the students that actually went to that school have years experience."", 'You sound disgruntled. As a parent with first hand experience with the staff and administration of MS 223, I can tell you that this is the safest school in the South Bronx, if not the ENTIRE borough. All you have to do is read all of the other comments to see that the proof is in the pudding. Average attendance is 94%!! MS 223 students love their school and know that they are getting a quality education from a dedicated staff. Either they have one heck of a Public Relations Department or you didn\'t make the best out of your experience while you were there and our lashing out in anger which is why you did not give specifics on WHY you feel the school ""sucks"". I would encourage any parent to look at the stats, do their research, and visit the school. Knowledge is Power.', 'Sixth-graders from MS 223 took a turn playing teacher as they showed Schools Chancellor Carmen Fariña and First Lady Chirlane McCray the ins and outs of computer coding. Read more <a href=""http://www.wnyc.org/story/students-teach-doe-chancellor-code/"">here</a>.', 'MS 223 has been selected as one of seven model schools in the city to work with partner schools to improve on specific weaknesses. Read more <a href=""http://ny.chalkbeat.org/2014/04/07/farina-launches-program-to-pair-schools-with-aim-of-improving-them/"">here</a>.', 'School Chancellor Carmen Fariña visited MS 223 on her first day on the job, Jan. 2, 2014. Read more: http://bit.ly/1kcvC21', ""Ok, this is not true. Dr. Gonzales is rarely in the school to begin with. He takes an expensive town car the school when he does show up when he is not smiling  and telling lies to parents about all he does and telling lies to the media he is bulling staff members. The two assistant principals pretty much run 223. Don't believe everything you hear about MS223.""]"
07X224,"['Science School for Exploration and Discovery is being accused of grade inflation after discrepancies found in comparing passing scores in math classes and that of the state math exam. <a href=""https://nypost.com/2019/06/29/critics-cry-grade-inflation-at-nyc-schools-as-students-pass-without-meeting-standards/"">The New York Post</a> reports that 94% of its students received passing marks in their math classes, but only 2% passed the statewide test.', '<a href=""https://www.nydailynews.com/new-york/ny-metro-catania-224-race-20190607-jhhxqi5dajdj5djsxajdhs4ndm-story.html?utm_source=newsletter&utm_medium=email&utm_campaign=cb_bureau_ny"">The Daily News</a> reports that Principal Catania will be leaving IS 224 after being accused of denying her black teachers and students the opportunity to teach and receive black history lessons. To fill her position, the DOE says to be working with the community to find a replacement who will better fit the needs of the school.', '<a href=""http://pix11.com/2018/02/15/community-protests-bronx-principal-who-banned-black-history-month-lessons-at-school/"">Pix11 News shows</a> the community protests in response to recent reported actions of the school\'s administration.', ""I'll just leave this right here:\n\nhttp://www.nydailynews.com/new-york/racist-principal-bars-black-history-lessons-bronx-school-article-1.3812943"", ""my son and I just moved in neighborhood and transferred tops/is 224 in the Bronx . my son experience he hates it trying to get use to the students who aren't to friendly and uses  profanity at teachers and students. I just meet the staff but haven't meet with the principal as yet heard a lot of good comments I would like to meet one of these days but the staff always say she is busy. the staff seems ok some are ok but SOME smile in your face and are not helpful and are phony and smile in your face . another incident my son just started and been complaining to me about lunch not given to him for two weeks which is crazy and I complained to the staff but I been giving him home cooked meals which puts my family financially in a tight budget I have rent to pay and utilities which isn't fair. he says the teachers there who to me don't havent sense to give my son a code and eat like every other student. he needs the protein and energy to function every day as he participates in his daily activities in school and take test. . I'm very upset about this situation with my son and as a mom I m concern with this situation and please can the principal reach out to her staff  and teachers to be more professional and concern for the children well being and not themselves"", 'I had the pleasure of meeting with Principal David and her knowledgeable and experienced team today. I had the opportunity to observe students engagement in an ELA lesson focused around common core standard RL 7.3.3: Analyze\nhow particular elements of a story or drama interact (e.g., how setting shapes\nthe characters or plot). They demonstrated a thirst for knowledge with courageous effort which was evident in their raised hands, smiling faces and enthusiastic participation. I have visited a few Bronx middle schools and P.S./I.S 224 students clearly have developed a love of learning. This only happens when students are provided with a safe and supportive learning environment. \nJ. Fall', 'PS/IS 224 is on the state education department’s list of failing schools but it doesn’t qualify for the city’s renewal program, which gives schools additional support. Read more <a href=""http://ny.chalkbeat.org/2015/04/09/citys-turnaround-program-excludes-some-schools-that-cuomo-says-could-face-takeover/#.VS1yqfnF9gg"">here</a>.']"
07X277,"['PS 277 is on a list of 50 schools that will participate in the DOE\'s Bronx Plan, which will boost salaries in hard-to-staff positions and ""give teachers formal decision-making power in their schools"" according to <a href=""https://chalkbeat.org/posts/ny/2019/02/08/new-york-city-bronx-plan/"">Chalkbeat</a>.', 'Chalkbeat talks about how 3-year olds are different from 4-year olds at PS 277. https://www.chalkbeat.org/posts/ny/2018/11/28/the-difference-a-year-makes-building-new-york-citys-pre-k-for-3-year-olds-and-4-year-olds/', 'P.S. 277 violates school cafeteria city health inspections, according to <a href=""https://www.ny1.com/nyc/all-boroughs/news/2019/02/23/hundreds-of-school-cafeterias-flunk-city-health-inspections""> Spectrum News NY1.</a>', 'PS 277 now offers free pre-kindergarten for both 3- and 4-year olds.', 'Students at PS 277 connect with college students currently on study-abroad programs around the world. Read more <a href=""http://www.edweek.org/ew/articles/2015/10/21/study-abroad-programs-build-next-generation-travelers.html"">here</a>.', 'PS 277 are frustrated about the lack of information about a possible co-location with a school for special needs. Read more <a href=""http://www.dnainfo.com/new-york/20150306/mott-haven/doe-keeps-parents-dark-about-moving-special-ed-school-into-ps-277"">here.</a>', 'PS 277 parents are upset at the possible co-location of a charter school in the fifth floor of the school\'s building. Read more <a href=""http://www.dnainfo.com/new-york/20141114/mott-haven/ps-277-parents-upset-about-possible-charter-school-takover-of-fifth-floor"">here.</a>', '70 percent of District 7 schools are under-enrolled in 2014, including PS 277 which has 416 less students than its target capacity. Read more <a href=""http://www.dnainfo.com/new-york/20141013/mott-haven/south-bronx-schools-under-enrolled-by-hundreds-of-students-doe-stats-show"">here</a>.']"
07X296,"['What color is the uniforms', 'A teacher at South Bronx Academy for Applied Media was fined $300 for showing an 8th grade class a video of ISIS beheading a journalist, reports <a href=""http://nypost.com/2016/03/18/students-freak-out-after-teacher-shows-video-of-isis-beheading/?utm_source=Master+Mailing+List&utm_campaign=9a662a2b7e-Rise_Shine_Merryl_Tisch_says_goodbye3_21_2016&utm_medium=email&utm_term=0_23e3b96952-9a662a2b7e-75578181"">New York Post</a>.', ""I wouldn't recommend this school to anyone because the community is horrible and there hasn't been a year without anything bad happening.Im surprised this school had grade over a D."", 'Roshone Lee, Founder and Principal of The South Bronx Academy for Applied Media was honored at the Harvard Club by Education Update as an Outstanding Administrator of the Year 2014. Read more <a href=""http://www.educationupdate.com/archives/2014/MAY/HTML/spot-oey14.html#.U8_XSxaH_ww"">here</a>.', 'IS 184 closed in 2008. A couple of new schools were opened in the 184 building. http://www.nytimes.com/2006/08/23/education/23EDUCATION.html?_r=0']"
07X298,"['ima look at this in 20 years', ""Keep away! The people down there are terribly wrong! Please Please Please don't send your kids here! I was bullied and all that, so STAY AWAY"", ""DO NOT COME HERE!!!!!! Stay away! I've been here and it's very violent and bullying is very common and happens everyday. Graduated, and I don't like it. Keep away!""]"
07X343,"['The Cuban ambassador to the United Nations visited seventh graders who fundraised for refugees, <a href=http://bronx.news12.com/story/38304402/cuban-ambassador-to-un-visits-bronx-school>News12 reports</a>.', 'Academy of Applied Mathematics and Technology received the Elizabeth Rohatyn Prize for creating an environment that fosters good teaching, <a href=http://www.chalkbeat.org/posts/ny/2017/07/20/why-this-bronx-middle-school-believes-in-second-and-third-chances/>Chalkbeat reports</a>.', 'Chancellor Fariña announced 73 schools selected to join\nthe Learning Partners Program, an innovative and collaborative\ninitiative that brings schools together to share practices to improve learning\nin the classroom and raise student outcomes. Through the program, one host school with strong practices in a particular focus area will support two partner schools seeking to strengthen their own practices in that area. MS/HS 223 The Laboratory School Of Finance And Technology was chosen to host Kappa IV, Entrada Academy and Academy of Applied Mathematics and Technology. Read more <a href=""http://schools.nyc.gov/Offices/mediarelations/NewsandSpeeches/2014-2015/Chancellor+Fariña+Announces+73+Schools+in+Learning+Partners+Program+for+2014–15+School+Year.htm"">here</a>.']"
