dbn,comments
27Q316,"[""I can't tell you how amazing PS316Q is. My child has been enrolled since Kindergarten and I am over the moon how phenomenal his experience has been. The Principal and VP truly care about every single student and their school as a whole. The staff is amazingly talented. This has been such a great experience for my son and for me as a parent."", 'Read about the official opening of Queens Explorers Elementary School <a href=""http://www.qchron.com/editions/south/ozone-park-has-its-new-public-school/article_5e115e8d-8678-5b89-9a0a-2f8c32855ab3.html"">here</a>.']"
27Q317,"['After a fire broke out in the boiler room at MS 317 and MS 318, six students were injured while evacuating the building and had to be hospitalized. Read more <A href=""http://www.dnainfo.com/new-york/20140305/rockaway-park/students-hospitalized-after-wire-falls-on-them-during-school-evacuation"">here</a>.']"
27Q318,"[""my daughter has attended since the 6th grade and is soon to be promoted to the eighth.  I couldn't be more happy with the dedicated Principal and staff at WSL.  Through the entire 2015-16 school year my daughter has earned honor roll status and maintained it which is a first for her."", 'I love this school.  My child transferred here from Channel View and she has never been happier.  The classes are small and the teachers are so caring.  I have walked into the school and it is always organized and quiet.\n\nI ask my daughter every day how her day is and she is always excited to tell me.  She especially loves her ELA and her art teacher!', 'MS 318 received $25,000 in federal grants to expand its dual language Spanish program beginning in September 2015. Read more about the city\'s new and expanded dual language programs <a href=""http://www.dnainfo.com/new-york/20150114/downtown-brooklyn/40-new-expanding-dual-language-programs-coming-nyc-schools"">here.</a>', ""I am a new parent of a 6th grader and I love this school. My child is really happy hear. She was bullied in elementary school and there is none of that at Waterside. The kids on the bus are  always all over but that is all middle school kids. You can't blame the school.  When theyare inschool they are great.  I've walked into the building and they are respectful and quiet and working. The teachers are so caring and great. "", 'I wish I didn\'t have to send my child here again, i am currently thinking of transferring her.  The middle school is out of control. They have ""squads"" who gang up on other kids.  And getting on the bus with them is a nightmare. They are out of control here!!  Do not send your child here,  to many distractions', 'Waterside is the best school I have been to.  My parent moves alot so I have been to schools in NY and NCarolina and I have never been in a school where they care about you like this. They take you college and help you get your work done.  Many of us are going to our first choice HS.  Some of the people who are upset might have the kids who keep getting in trouble and unlike some schools, the teachers deal with them.  The school is always quiet and calm and I like learning here.', 'Future Felons of America at this school', 'After a fire broke out in the boiler room at MS 318 and MS 317, six students were injured while evacuating the building and had to be hospitalized. Read more <A href=""http://www.dnainfo.com/new-york/20140305/rockaway-park/students-hospitalized-after-wire-falls-on-them-during-school-evacuation"">here</a>.', 'Waterside school for leadership is a bad school.my son there and he said teachers do not care for your kid.do not sent your child to this school.also he see alot of fight alot so if you want child to fight sent child is this school.', ""I heard he was kicked out of multiple high schools.  All of the kids are taklking about it. Guess it wasn't the middle school."", ""a sub at 183 who is always late and unprofessional is not a valid judge of education. Don't you agree?  Sometimes parents get upset when their children are held accountable  for their actions.  I hope your son or daughter is doing better in high school.""]"
27Q319,"['Village Academy is on a list of 50 schools that will participate in the DOE\'s Bronx Plan, which will boost salaries in hard-to-staff positions and ""give teachers formal decision-making power in their schools"" according to <a href=""https://chalkbeat.org/posts/ny/2019/02/08/new-york-city-bronx-plan/"">Chalkbeat</a>.', 'The school is the best middle school in far Rockaway. My son haven’t been  in the school for long , But he tells me he feels safe. The teachers are very good and work very hard with the students.  They always make time for parents if there’s an issue that needs to be addressed .The staff  would definitely direct you to the right person you need to speak with.', 'Thank you for your input! Please keep us posted on how things are going.', 'This school and is fun it has motivated me a lot 😁😂😂😂😂😂', 'This school is so fun because it has a big playground and because all the teachers make learning really fun and not boring ,and also because if you are student of the month you get to go to the game truck, and in village academy makes learning more easier and i made the HONOR ROLL!!!!!!!', 'This school is so much fun. I want to stay here! I think  this school rocks. My teachers make learning fun. We do fun activities in math and in literacy. Some of my classes are even in Spanish. I also heave fun in sicence and gym.I  think this school is phenomenal and awesome. I always did good in schoo but at village Academy i do AWESOME. I am even on the honor roll!', 'I am a student at Village Academy this school rocks because we do many activities for an example Ladies with a purpose. In ladies with purpose we do Zumba and we do more fun activities. I love my school.', 'As a sixth grader I feel  comfortable at Village academy. I learn alot during the day and afterschool I can paricipate in many clubs. My favorite club is ladies tea party. They teach use how to be lady. I have been to a couple of schools and Village Academy is the number 1 school that I went to. I LOVE VILLAGE ACADEMY', 'A Success Academy elementary school will open in the building with Village Academy Middle School and MS 53. Read more <a href=""http://www.dnainfo.com/new-york/20151125/far-rockaway/success-academy-moving-into-far-rockaway-school-after-city-approves-it"">here</a>.']"
27Q323,"['I graduated Scholars\' middle school in Spring of 2016. Although I left to attend Bard High School Early College Manhattan, I keep in close contact with those of my friends who stayed for the high school. In complete honesty, leaving Scholars (not staying for the high school) was the best decision I ever made going into adolescence. Yes, the school is rated high for diversity, but it handles that diversity SO poorly. Racism, sexism, anti-semitism, xeno-phobia and queerphobia is rampant, there is no concern for mental health of students, and administrators/teachers, in mine and my friends\' experience, have never done anything to deal with this. The amount of rules that restrict students from expressing themselves to the most basic extent are absurd- separate academic and gym uniforms are required, and students are asked to pay a dollar if they want to wear normal clothes on assigned ""dress-down days."" Even then, there are rules prohibiting self-expression; the Parent Handbook (accessible on www.scholarsnyc.com) states that students can be punished for wearing things considered ""disruptive"" or ""inappropriate,"" such as scarves, jewelry, any piercings, any dyed hair (even natural colors), and skirts (of no specified length). Students wearing shirts that are considered ""political,"" i.e. graphic tees with slogans of movements such as ""Black Lives Matter"" or even ""Love Wins,"" may be asked to **take their shirt off or miss class until their parents can come to school with new clothes for their child.** The Arts Department is extremely underfunded, with the theatre department only allowed $500 a semester to produce shows with complete sets, props, costumes, sound, and lighting, while the Athletics department is overfunded, receiving annual grants for new uniforms. Juuling and Vaping are also extremely popular among both high school and middle school students. In my time at Scholars, I have had person experiences with explicit anti-semitism, queerphobia, and a lack of concern for my mental instability. In reality, the social environment of Scholars\' Academy is geared towards the prosperity of cisgender-heterosexual, white kids who are good test-takers and come from supportive middle-class families. Nonetheless, if you/your child prioritizes the school\'s academic and athletic reputation over the social environment and a promotion of critical thought/self-expression/self-exploration a child may need as they edge closer to adolescence, the Scholars\' Academy may be a place where you/your child can thrive.', 'Hi what are there skedule', ""If I live in Disctrict 27, how much higher are my children's chances of being accepted into the middle school? Is it likely that they will continue onto the high school if they are already in the middle school?"", ""Scholars Academy received a new gym, reconstructed theater, music rooms, and lockers to repair damage done during Hurricane Sandy. Te school's gardening club meets biweekly to help with campus repairs, the <a href=http://www.nydailynews.com/new-york/queens/students-rockaway-beach-working-school-sandy-damage-article-1.3597440>New York Daily News reports</a>."", 'Hacker For Hire Contact below, Please also leave us a good review.', 'In all honesty, and even though I am, by nature one of the dying breed that still believes in education in its pure form, Get a real hacker to hack your stuff before you get yourself into trouble... hacking is safe and secure with us', 'Do you need a hacker to help you hack any web site.\n\nOur services include the following service:\nUniversity grades hack, \nGet you a legit University Certificate,\nEmail Hack,\nAll Social media Hacking,\nTracking someone.\n\nGiving you access to picture,videos,call log,text messages, emails e.t.c\nContact us at: databaseengineexpert @ gmail . com', 'Does anyone have experience with being in the waiting list? What are the chances? ', 'In the 11 years since Principal Brian O\'Connell started Scholars\' Academy, it\'s become one of the best and most diverse schools in the city. <a href=""https://www.dnainfo.com/new-york/20160417/rockaway-park/diversity-is-focus-at-high-performing-rockaway-park-school"">DNAinfo reports, featuring</a> O\'Connell as Principal of the Week.', 'Hi does scholars accept 10th graders through the high school admissions process (SEMS)?', 'They mostly accept students with ieps\n', 'My son intends to attend this High School. He had averaged 94+. His state test scores are Math 4.44 & ELA 4.02. Can someone tell me how good his chance to be accepted? Please help me. ', 'Acceptance letter received!!', 'Do you know what will be in the interview?', 'Letter received, interview scheduled for third week of March! Very excited.', 'Can you share what will be like in the interview?  Is there any test involved?\nMy son just got a letter for interview.', 'Has any one received interview letters yet?', 'Scholar’s Academy teacher Kerri Naples has been honored as one of the city’s top science and math teachers. Read more <a href=""http://www.dnainfo.com/new-york/20141203/rockaway-park/rockaway-math-teacher-honored-for-helping-students-through-hurricane-sandy"">here</a>.', 'Principal Brian O\'Connell describes Scholar\'s Academy\'s emphasis on collaboration as a key to the school\'s success. Read more <a href=""http://www.nydailynews.com/new-york/education/best-high-schools-scholars-academy-offers-close-knit-community-article-1.1973897"">here.</a>', 'Scholar\'s Academy is number 8 on reading proficiency (86.60%) in 2014 city test scores. Read more <a href=""http://ny.chalkbeat.org/2014/08/15/ten-top-10s-from-new-york-citys-2014-test-scores/#.U_IU-ktjcds"">here</a>.', 'Toni Marie Viera, Assistant Principal of Scholars’ Academy was honored at the Harvard Club by Education Update as an Outstanding Administrator of the Year 2014. Read more <a href=""http://www.educationupdate.com/archives/2014/MAY/HTML/spot-oey14.html#.U8_XSxaH_ww"">here</a>.', 'Scholars\' Academy\'s perfect graduation rate in 2013, after the devastation of Hurricane Sandy that left nearly 60 percent of students homeless, is a testament to the vigor of its community, says principal. Read more <a href=""http://www.nydailynews.com/new-york/education/school-perfect-grad-rate-testament-community-article-1.1841251"">here</a>.', ""Scholars Academy has accepted my daughter, I'm  so elated!!!..""]"
27Q333,"['I left this school in 3rd grade now my sister attends the school (5th grade) and most of the kids in her class are bullying her. Talking about her skin color, her background, mocking her dad’s death, fat jokes and all. Then when my sister complains to the current Asst. Principle (Ms. Vile) she shoves it to the side then takes away her senior trip because I wanted to defend her. Now if my sister was to fight back or take action upon herself the school would be feeling really guilty. All I’m saying is that you should send your kids here because they don’t care about \nhow important bullying is for kids.', 'In a New York City first, Goldie Maple is piloting a program that has teachers working only four days a week. Watch the NY1 story <a href=""http://www.nydailynews.com/new-york/nyc-crime/harlem-teacher-busted-hurting-special-student-7-article-1.2541939?cid=bitly"">here</a>.', 'Students from Goldie Maple Academy won first place in a summer camp double dutch tournament. See photos <a href+""http://www.nytimes.com/slideshow/2015/08/05/sports/double-the-fun/s/DOUBLEDUTCH-slide-LGGR.html"">here<a/>.']"
27Q362,[]
28Q008,"[""Wow Richard S Grossley was my great grand mother's uncle. That would make him my great great great uncle. I didn't know there is a school named for him."", 'Most of these comments re from many years ago. as a current 2020 student i see how much the staff memebers are trying their best to give their students a better schoolyear then the past. and it shows off! ms.green was no longer the principal when i started attended. Dr.lousaintt ia kinda scary looking (as in shes strict) but cares about her student. There are some fights and constent drama buts it a middle school, teens arent all innocent were ever they go', ""This school is very undermined, I am the student government president of this school and I can't find my self saying that I hate this school , I love it , we have a great sense of family and friendship , our teachers are our friends, when I was in sixth grade I was a victim of bullying but in the past few years we have become way better. All we need is  attendance and an incentive to in courage kids to learn . I am leaving this school this year but I can Definetly say that I.S.8 will leave an imprint on me."", ""I.S8 is honest to god becoming such an amazing school! When people hear I.S8, right away they think of gangs and other negative stuff about the school! But that was the pass, all the bad students left the school and now things are getting better! I've been going to this school since 2012 and I saw this school go from nothing to something. The educational system is much better now and there's a variety of talent class choices you take! Theirs also a scholars program available. For what I've experience, this school has truly turned around! I highly recommend student to attend I.S8!"", 'Ninety-four low-performing schools are now called “Renewal Schools,” by DiBlasio. They will receive increased funds designated for an hour of additional learning time, after-school and summer programs, and teacher training. The principals will also be under review. Read more <a href=""http://ny.chalkbeat.org/2014/11/03/these-94-schools-are-set-to-receive-extra-funding-and-learning-time/#.VFqXM4c7X8E"">here</a>.', 'meacc', ""I attend I.S.8 and I have to say this school is very misleading there is 17 and 18 year old's in this school the kids is very disrespectful and abuses  less than have of the teachers really care about the student"", 'If your child been bully you going to D28 to enrollment to the other school (York Early College Acdemay, Catherine and Count Basie Middle School 72, and P.S./I.S. 116 William Huguges) ']"
28Q040,"['A 5th grader at PS 40 took a handgun from his grandfather and carried it to school, <a href=""http://www.nydailynews.com/new-york/queens-fifth-grader-brought-gun-school-fight-article-1.2566943"">reports NY Daily News</a>.']"
28Q048,"['Hi\n', 'from i come to this school from. from my old county  i said WOW! this a good school they like everyone at this school i said i loveeeeeee this school i said this is the school i being waiting for the long time student like to learn the teacher are lovinggggggg OMG! this school is like awsnsome', 'P.S. 48 directed staffers to monitor students who missed the most school, after one year of close supervision, the school’s list of 160 regularly absent students dwindled to 26. Read more <a href=""http://ny.chalkbeat.org/2014/12/16/citing-nyc-as-a-model-state-moves-to-track-chronically-absent-students/#.VJHrlIt938F"">here</a>.']"
