dbn,comments
06M004,"['As the school year winds down—and many parents wonder whether students and teachers have ""checked out""—some schools like PS 4 do their best to keep the educational spark alive. Read more <a href=""http://www.wnyc.org/story/how-much-learning-actually-happens-june/"">here</a>.']"
06M005,"['This school itself is nice, and the teachers are lovely, but this is not a discussion to worry about in this time of crisis ,what I need is the email of the teacher Ms.Moore because its reading of my lil sister classes online', 'Mayor Bill de Blasio visited PS 5 to hand out pre-k offers as families across the city receive their notification. Read more <a href=""http://www.dnainfo.com/new-york/20150608/washington-heights/70-percent-of-nyc-families-score-top-choice-for-public-pre-k-mayor-says"">here</a>.', 'Loved PS5 and all the teachers. From Kindergarten to 5th grade!!!! (1995-2000)', 'i love ps5 because i have a good nice lovaball teacher MS.CHIM I LOVE HER AND THIS IS OUR LAST YEAR HERE']"
06M008,"['PS 8 received a piano from the Sing for Hope project, which donates specially-designed pianos to public spaces, <a href=http://pix11.com/2017/09/22/stories-from-the-heart-sing-for-hope-pianos-bring-art-to-city-schools/?utm_source=Master+Mailing+List&utm_campaign=9f1ee7d193-EMAIL_CAMPAIGN_2017_09_25&utm_medium=email&utm_term=0_23e3b96952-9f1ee7d193-75750697>Pix11 news reports</a>.', 'As a former student i can say this school was one of the best schools there is. The school took good care of the children, made sure to do the fire drills and any practice for that matter. The school had one if possible only false fire drill and it was dealed with. In addition i have gone to that school since i was 3 all the way to 5th grade so i know i am right when i say that this school has helped me academicly and i will be sure that the day i have a child to put them in this school.', 'This is a lie, the school has never had racism and if i am correct i believe i was in the school when you were.']"
06M018,"['', 'I’m very surprised to read such a negative comment about the school and Mr. House. Coinsidently enough, my son was in Mr House’s class this school year. PS 18 is the third school in 5 years that my son has gone to because I have decided to pull him out due to my discontent of the lack of tolerance and understanding of my son’s needs. Thanks to Mr House, my son this year became so much independent at home with his homeworks, my son would be reinforced at school with very positive words such as “ You can do it” or “ You can do your best” which he would repeat at home all the time. My son for the first time ever met the standard math test at his grade level. I think Mr House communicating with me everyday to provide feedback as to how the day was going with my child was very helpful to me on communicating back to my son’s doctors but also helped me find ways on how to improve my son’s behavior in order to help achieve a successful academic year and help him learn. Mr House tries as a team work with the parent to push the child to their fullest potential. I also found the school to be very responsive, cordial and tend to my son’s needs or my request very timely. It seems like all he staff care for the students. I am so happy that I am looking forward to the next few years at PS 18 for my son.', 'A teacher at PS 18 was fired after asking her class to write down all the reasons they disliked a particular classmate. Read more <a href=""http://www.dnainfo.com/new-york/20150415/inwood/teacher-fired-for-having-kids-write-why-they-hated-classmate-on-blackboard"">here</a>.']"
06M028,"['Read all about this principal’s leadership skills at ANOI Don’t tread on educators. Lots of insight', 'Jamie Lefkowitz, 1st grade bilingual teacher at P.S. 28 Wright Brothers, is one of the 17 recipients of the 2016 Big Apple Award.  The Big Apple Award is a citywide recognition program that celebrates the incredible work of New York City public school teachers.  Read more <a href=""http://schools.nyc.gov/Offices/mediarelations/NewsandSpeeches/2015-2016/Chancellor+Fari%C3%B1a+Announces+Winners+of+the+2016+Big+Apple+Awards.htm"">here</a>.', 'i think your son should not go there']"
06M048,"['PS 48 parents rallied to ask the city to speed the transfer of kindergarten classes from trailers to classrooms. <a href=""http://ny.chalkbeat.org/2014/06/13/district-6-parents-renew-calls-to-move-students-out-of-classroom-trailers/#.U59WAsY-w7p"">Read more here.</a>', 'Kindergarteners at PS 48 have class in trailers despite the fact that their school building houses unused city offices. Read more <a href=""http://www.ny1.com/content/news/education/206617/first-on-ny1--doe-classroom-trailers-have-to-go--advocates-say"">here</a>.']"
06M052,"['Does the school require uniforms?', 'Yes they do baby blue polo and navy blue pants from 6-7th grade. Navy blue polo and navy blue pants for 8th', '<a href=""https://www.nydailynews.com/new-york/ny-metro-inwood-cancer-is-52-health-survey-20190627-bmk4j7ws6vhlxaunc4hdvbvqbm-story.html"">The Daily News</a> reports that IS 52 is under investigation as a cancer cluster site after about a dozen teachers in its building were diagnosed with various forms of cancer. The other two schools that are colocated in the same building will also be examined for safety over the summer.', 'As someone who went to this school during the years of 2010-2013, I can surely say this school has impacted positively in my life. I am now going to college. I had the best time of my life in IS52! I met so many people, learned to network with others and I wrote my college essay about it. I wonder if Ms. Paumig, Ms. Ackert, Ms. Bracie and Mr. Vilson still teach there. This school is definitely a ""hidden gem"" in New York City. I really miss this school. As for the anonymous that claimed that this is the worst school, I agree with you on one thing only, there are many fights but you\'ll find that everywhere, literally. I had many fights in that school and it made me evolve into the man I am now. It also gave me insight that life isn\'t the ""Utopian dream"" I once thought about. I will always hold this school dearly in my heart. I would really like to speak to Ms. Paumig as I did write my college essay around an event that happened. Anyways, this school is great!!', ""During my tender years going tp JHS 52 in the early 70's, most of it was spent fighting prejudiced students and faculty alike.I am of Puerto Rican descent, but I had to fight dominicans who played the race card to justify their own prejudices. They influenced the local constabulary there into their ignorance, & it was quite arduous going day by day to suffer their abuse. I managed to graduate from there to go to a trade school  graduated. but left me nowhere but a seething hatred for certain students & the public school system. I hope the entire school system has changed & the attitudes of the students as well."", ""This school is amazing! The Principal Ms. Leon knows her stuff. She is great at listening to her students' and teachers needs. The school band and all the extracurricular activities make the school look great. I really enjoy how discipline is handled by Mr. Benitez!!! AMAZING- Would definitely send my child here."", 'To be straight to the point,this is the worst middle school I have ever seen.Many fights start inside the school sometimes and even outside in the parking lot.Some kids even smoke marijuana and do extremely bad things to the staff and principals,even the teachers on the last days like baby oil on staircases and fart bombs.The good students are like camouflage for the ghetto students.Teachers sometimes are dramatically disrespectful and may take it like a joke but the students don\'t.You may find this rare and only if you are well communicated with teachers,like a friend.The school baby\'s you to wear uniform and if you don\'t you get your parents called.Seriously?An 8th graders parents called for UNIFORM?Don\'t even mention the staff.They are always acting like the school is Dominican Republic and playing Spanish music in the cafeteria,which irritates me.They push students around and are annoying.Some students here have been dating and they are in the sixth grade smoking hookah.I have seen MANY pictures.In the cafeteria,we even have separated places,like one side is for students to eat breakfast and one for who isn\'t .In addition to that,each grade has assigned sections,which is stupid.The reviews here are all lies and I feel absolutely brave and proud of myself that I have survived almost 3 years.Some kids in relationships even bully you that they are in a love relationship and how you\'re a loner.Also,don\'t forget the after school program.The after school programs are disrupting and they baby you and give you a horrible experience in there.They also have the same behavior as the school and is annoying.Did I mention the environment after school?The stores are crowded with death-threatening kids telling you to move.The stores are even associated with drugs too.Some people drive there motorcycles and cars letting 8th graders go do drugs with them.Overall,I would give this school a 3 out of 10.The good comments are only from the fake ghetto people that ""fit in"" stating that this is the best school and you will meet amazing people.The only good people here are the teachers.', ""Dear Anonymous,\nNot to be rude since this is your opinion,students personal life such as their agreement to participate in drug use has ABSOLUTELY nothing to do with the school itself. It comes from your conciseness and being told  that doing drugs is ok, not that we do drugs or support its use.In case you didnt realize there are 2 other schools there so the drug user will be hard to detect.  Being separated in the cafeteria is a form of organization and helps ensure that each kid in every grade is served lunch. Being separated  during breakfast helps make cleaning up for the high schools and lunch easier.Students that get to breakfast and don't eat in the morning can catch up with  work.The music during lunch is not put on everyday and was requested by students.Love life, another irrelevant subject linked to the school. If you pay attention to the love life of students then you are not mature enough to state the facts on what you think the school  is actually like. After schools try there best and push us forward to learn academic skills and social skills  we need in life. The environment after school plants trees and flowers within the community and help students value the importance of keeping the environment safe. Uniform help prevents judgement within the students and by enforcing the rules no judgmental comments would be made.The stores, another once again  irrelevant topic to support your claim on the school. Students are meant to control their behavior AT SCHOOL!  What they do outside of school is their business  and does not support the claim that the school is a bad one. As to the teachers, since you are anonymous  call out the teachers. Also as for the senior prank that was a one time thing and the students responsible for it have taken their consequence as of last year.  Finally if you behind the screen took the  time to analyze important things at school such as academic scores and or events happening like honor roll society then you would realize the school may not be the best but it is certainly not the worst. I mean how would you know?This is the only  middle school you have attended.  PS. ghetto  does not classify you as someone who does drugs, gets into fights or is not ''smart''. \n\n\n                          Sincerely Jocelyn and Juliette  8th grade"", 'Chancellor Carmen Fariña announced 73 schools selected to join\nthe Learning Partners Program, an innovative and collaborative\ninitiative that brings schools together to share practices to improve learning\nin the classroom and raise student outcomes. Through the program, one host school with strong practices in a particular focus area will support two partner schools seeking to strengthen their own practices in that area. I.S. 52 Inwood was chosen to host Global Technology Preparatory and The Urban Assembly Institute for New Technologies. Read more <a href=""http://schools.nyc.gov/Offices/mediarelations/NewsandSpeeches/2014-2015/Chancellor+Fariña+Announces+73+Schools+in+Learning+Partners+Program+for+2014–15+School+Year.htm"">here</a>.', 'Teacher José Lius Vilson explains why students need more black and Latino teachers in an excerpt from his new book, This is Not a Test. Read more <a href=""http://ny.chalkbeat.org/2014/05/05/why-students-need-more-black-and-latino-teachers-an-exclusive-excerpt-from-jose-vilsons-this-is-not-a-test/#.U2lGs61dWDo"">here</a>.', 'IS 52 principal Salvador Fernandez attributes his school\'s success to its focus on teacher development. Read more <A href=""http://www.dnainfo.com/new-york/20140421/inwood/focus-on-teachers-pays-off-for-inwood-middle-school-leadership"">here</a>.', 'Parents and community members are upset about Department of Education plans to move a new career and technical education (CTE) school into the IS 52 building. Read more <a href=""http://www.dnainfo.com/new-york/20140305/inwood/dont-put-new-high-school-is-52-parents-tell-doe"">here</a>.']"
06M098,"['Lol just reading Star Treks Walter Koenig went to this school! He revisited it and said it looks like a penitentiary with the barred windows! He amongst other negative things says he cannot believe that human children are still educated there', '8/2019 \n\nI’m VERY confused and concerned by the negative reviews and ratings here. \n\nOur children have gone to this school for two years and LOVE it. My son just graduated Kindergarten and is reading at 3rd grade level in English and Spanish! (He’s in the Spanish immersion program). My mother is an educator in Maryland and she is thrilled at the quality of education her grandsons receive. The principal is kind and truly values the parents. She is always giving the parents and kids a vision that they will all graduate college! The staff are very loving to the students but also have very good class management. We highly recommend this school.', 'I went to P.S. 98 my teachers were Ms. Valencia, Mr. Perez, Mr Santiago. As a graduate from there I do feel that this school can do so much better. When I used to go teachers were engaged and knowledge was power as we used it. I miss my schools as I live in FL and my kids are so behind on their education. NYC is way more advanced than what my kids are learning.', 'The principal of this school is the worst. She has zero knowledge of how students learn. She treats her staff horribly. She is extremely fake and is only concerned with keeping her job, not the students.', 'I use to go there from 1982-1987. I had great teachers Mrs. Rivera(3rd grade), Mr. Steve (k), Ms. Guerra (2nd grade), Mrs. Monserrat (1st grade) and Mr. Lamor (4th grade) were stern but were great nonetheless. Mr. Shapiro the principal was also very nice and charismatic. My kids on the other hand my now 17 yrs old and 8 yr old have had very bad experiences. Most of the teachers then and now are horrible and lazy (that\'s 85%) of them while the other 15% excels to provide excellence. When my 17 yr old was 8ys old  the teacher she had couldn\'t stand him and I almost beat her. So they changed his class to Mrs. Martinez (which) is still there and she said the contrary, she also said he just needed a little bit more help. I also got him evaluated and found out that due to that he had a high level of anxiety and ADHD. Now fast forward 10 yrs later my 2nd son is in the same school, going through the same thing. He\'s also getting left back just like it happened 10yrs ago. I was lucky back then the school was in need of improvement and my son got transferred out. This time they aren\'t and I have been trying for a whole year to transfer him out and I can\'t. The last draw was getting my son evaluated because he\'s very distracted and hyperactive. Maybe now I will get him transfer out that hell hole. But before his IEP got done I had to call the district and speak to the child and family advocate cause I was told that ""They were to busy and backed up to do his IEP evaluation."" Mind you it was done last year. I would recommend NOT TO ENROLL ANY CHILD IN THAT SCHOOL. Today my 17yr old is thriving thanks to Muscota New School they are awesome! Is a charter school but I prefer charters school opposed to regular deteriorating old schools.', ""Not sure if this is supposed to be a positive remembrance of a teacher named Marilyn Little or not? I presume you are in your 30's nowadays, however, I also presume that grammar and spelling were not your best subjects as evidenced by your comment?"", 'Definetly not his best subjects.']"
06M103,"['Through the district\'s participatory budgeting process, PS 132 and Dos Puentes will receive $200,000 to complete a playground installation, <a href=""https://www.dnainfo.com/new-york/20160425/washington-heights/fitness-center-playgrounds-win-funding-uptown-participatory-budgeting"">DNAinfo reports</a>.', 'My son attends Dos Puentes and loves it! The school leaders and teachers are incredibly dedicated to the dual language mission and make a huge effort to involve parents and families in the school community. Es una escuela excelente! Buen trabajo!', 'Dual language programs, like the one offered at Dos Puentes, are on the rise. Read more <a href=""http://www.nytimes.com/2015/10/09/nyregion/dual-language-programs-are-on-the-rise-even-for-native-english-speakers.html?_r=0"">here</a>.', 'Dos Puentes Elementary School received $25,000 in federal grants for its Spanish dual language program beginning in September 2015. Read more about the city\'s new and expanded dual language programs <a href=""http://www.dnainfo.com/new-york/20150114/downtown-brooklyn/40-new-expanding-dual-language-programs-coming-nyc-schools"">here.</a>', 'An NY Post editorial chastises the Department of Education for failing to properly repair the bathrooms in the building housing Dos Puentes Elementary School. Read more <a href=""http://www.nytimes.com/2014/12/14/nyregion/a-brooklyn-schools-curriculum-includes-ambition.html?ref=education&_r=0"">here.</a>', 'Parents at PS 132 and Dos Puentes Elementary School are hopeful that funding from the School Construction Authority will be put towards renovating the aging bathrooms in the old school building. The bathrooms are separated from the cafeteria by a partition that doesn\'t stretch all the way to the floor, suffer from exposed and leaking pipes, and have toilets that go un-flushed because they\'re too difficult for kids to use. Read more <a href=""http://www.dnainfo.com/new-york/20141210/washington-heights/decrepit-bathrooms-at-century-old-wahi-school-need-overhaul-parents-say"">here</a>.', 'Her Majesty Queen Letizia of Spain joined Chancellor Carmen Fariña on a visit to Dos Puentes on Monday, to the delight of students. Read more <a href=""http://www.dnainfo.com/new-york/20140922/fort-george/queen-of-spain-visits-washington-heights-dual-language-school"">here</a>.', 'Chancellor Carmen Fariña announced 73 schools selected to join the Learning Partners Program, an innovative and collaborative initiative that brings schools together to share practices to improve learning in the classroom and raise student outcomes. Through the program, one host school with strong practices in a particular focus area will support two partner schools seeking to strengthen their own practices in that area. PS 112 was chosen to host Dos Puentes Elementary School and Castle Bridge School. Read more <a href=""http://schools.nyc.gov/Offices/mediarelations/NewsandSpeeches/2014-2015/Chancellor+Fariña+Announces+73+Schools+in+Learning+Partners+Program+for+2014–15+School+Year.htm"">here</a>.', ""For the 2014-2015 school year, Dos Puentes does NOT have a pre-kindergarten program. I've visited the school and spoke with the principal. It was something they had hoped to have but at the moment they do not offer preK.""]"
06M115,[]
